CPT,NTEP,Price,Date
149.86499486529135,277752,53801.1,2021-10-08
211.7659823778792,244271,53867.3,2021-10-09
262.9989321899767,209758,55122.59,2021-10-10
188.7979309987834,278064,54625.74,2021-10-11
177.3689419331564,271990,57452.01,2021-10-12
208.35227349215208,286917,56242.94,2021-10-13
179.19979738888767,280285,57406.69,2021-10-14
181.09838891513297,295415,57397.74,2021-10-15
192.2482437064309,267858,61641.17,2021-10-16
285.13498773896254,214110,60948.78,2021-10-17
203.85572952582615,283337,61546.21,2021-10-18
198.080671169108,309762,61971.59,2021-10-19
211.5823908022599,289732,64287.64,2021-10-20
189.58216437301198,318167,66063.56,2021-10-21
217.2492340169184,285405,62354.86,2021-10-22
250.0864439844339,222200,60697.06,2021-10-23
277.42051250732425,209470,61277.28,2021-10-24
261.16807135065636,282545,60884.18,2021-10-25
201.8988701600399,291891,63070.54,2021-10-26
202.25107907571766,289908,60345.17,2021-10-27
197.28738706874626,293275,58538.49,2021-10-28
221.39700650859527,303529,60587.09,2021-10-29
239.57117113613367,250069,62249.18,2021-10-30
246.8003647574582,215575,61731.29,2021-10-31
196.52932054236572,291122,61373.44,2021-11-01
211.367745095574,295201,61029.5,2021-11-02
222.48269756427507,286655,63241.11,2021-11-03
194.63805392807342,286926,62954.86,2021-11-04
212.10201197994274,283855,61441.83,2021-11-05
251.3588054204758,234381,61072.32,2021-11-06
265.46933573865044,224325,61516.31,2021-11-07
196.1251103959942,283940,63293.22,2021-11-08
196.29773400480505,332698,67562.17,2021-11-09
211.10576369281006,298827,66954.11,2021-11-10
221.96499158878296,291462,64976.73,2021-11-11
205.3686303067761,280084,64838.81,2021-11-12
261.16624136347207,236913,64254.67,2021-11-13
287.7066115737756,222389,64420.94,2021-11-14
216.9353226100415,286413,65468.75,2021-11-15
192.25256872206768,298872,63584.25,2021-11-16
194.6741227984137,289004,60172.26,2021-11-17
183.17438583444633,292929,60381.35,2021-11-18
174.4426350598535,284006,56921.34,2021-11-19
